,,,,,,"country or global list"
,,,,,,"explanation of collumn"
,,,,,,"<pre>1:acc</pre> GitHub account"
,,,,,,"<pre>2:rep</pre>  repository"
,,,,,,"<pre>3:region</pre>"
,,,,,,"<pre>4:code</pre> country code"
,,,,,,"5 space"
,,,,,,"6 space"
,,,,,,"<pre>7:country</pre>  country name"
,,,,,,
"1:acc","2:rep","3:region","4:code",5,6,"7:country"
"ego-global","home","global","gl",,,"global"
"tmp-jp","home","asia","jp",,,"japan"
,,"europe",,,,
,,"africa",,,,
,,"america",,,,
,,"oceania",,,,
